EPOCH                                       BR                     BT                     BN
dd-mm-yyyy hh:mm:ss.ms                      nT                     nT                     nT
26-06-2004 00:50:00.000              0.0660000               0.445000               0.268000
26-06-2004 00:51:00.000              0.0640000               0.439000               0.263000
26-06-2004 00:52:00.000              0.0620000               0.441000               0.254000
26-06-2004 00:53:00.000              0.0760000               0.442000               0.263000
26-06-2004 00:54:00.000              0.0920000               0.480000               0.216000
26-06-2004 00:55:00.000              0.0860000               0.475000               0.212000
26-06-2004 00:56:00.000              0.0780000               0.473000               0.214000
26-06-2004 00:57:00.000              0.0800000               0.483000               0.207000
26-06-2004 00:58:00.000              0.0870000               0.480000               0.206000
26-06-2004 00:59:00.000              0.0860000               0.477000               0.202000
26-06-2004 01:00:00.000              0.0710000               0.469000               0.207000
26-06-2004 01:01:00.000              0.0520000               0.469000               0.219000
26-06-2004 01:02:00.000              0.0340000               0.455000               0.238000
26-06-2004 01:03:00.000              0.0420000               0.452000               0.239000
26-06-2004 01:04:00.000              0.0500000               0.463000               0.238000
26-06-2004 01:05:00.000              0.0330000               0.460000               0.237000
26-06-2004 01:06:00.000              0.0470000               0.455000               0.232000
26-06-2004 01:07:00.000              0.0530000               0.460000               0.227000
26-06-2004 01:08:00.000              0.0590000               0.475000               0.222000
26-06-2004 01:09:00.000              0.0700000               0.465000               0.217000
26-06-2004 01:10:00.000              0.0710000               0.460000               0.216000
26-06-2004 01:11:00.000              0.0770000               0.472000               0.210000
26-06-2004 01:12:00.000              0.0900000               0.476000               0.198000
26-06-2004 01:13:00.000              0.0790000               0.474000               0.205000
26-06-2004 01:14:00.000              0.0790000               0.472000               0.199000
26-06-2004 01:15:00.000              0.0830000               0.488000               0.199000
26-06-2004 01:16:00.000              0.0950000               0.472000               0.209000
26-06-2004 01:17:00.000              0.0900000               0.471000               0.201000
26-06-2004 01:18:00.000              0.0830000               0.471000               0.214000
26-06-2004 01:19:00.000              0.0880000               0.474000               0.216000
26-06-2004 01:20:00.000              0.0850000               0.465000               0.220000
26-06-2004 01:21:00.000              0.0840000               0.472000               0.208000
26-06-2004 01:22:00.000              0.0840000               0.487000               0.189000
26-06-2004 01:23:00.000              0.0840000               0.478000               0.198000
26-06-2004 01:24:00.000              0.0710000               0.484000               0.179000
26-06-2004 01:25:00.000              0.0680000               0.477000               0.174000
26-06-2004 01:26:00.000              0.0690000               0.494000               0.169000
26-06-2004 01:27:00.000              0.0720000               0.490000               0.171000
